Distance [m];Tid [s];Latitude;Longitude;IRI(1);IRI(17); HÃ¸jde [m]; Geoide hÃ¸jde [m]; DOP; Satellitter; Fixtype; GPStid; Metode; Vcar [rad]
0.000000000; 11.250970000; 56.124272405; 8.889379662; 3.012852953; 3.602556620; 42.000000000; 42.200000763; 0.600000024; 17; 2; 112319.000000000; 0; -1.144288301
10.000000000; 11.653820000; 56.124309137; 8.889231903; 0.940022549; 0.773455767; 42.000000000; 42.200000763; 0.600000024; 17; 2; 112320.000000000; 0; -1.155941248
20.000000000; 12.056760000; 56.124345367; 8.889084163; 0.954869974; 1.065172698; 42.000000000; 42.200000763; 0.600000024; 17; 2; 112320.000000000; 0; -1.156134367
30.000000000; 12.459760000; 56.124381744; 8.888936325; 0.494686256; 1.162277820; 42.000000000; 42.200000763; 0.600000024; 17; 2; 112321.000000000; 0; -1.149871826
40.000000000; 12.863370000; 56.124418759; 8.888787711; 0.973464879; 1.504010636; 42.000000000; 42.200000763; 0.600000024; 17; 2; 112321.000000000; 0; -1.151014090
50.000000000; 13.266880000; 56.124455733; 8.888639065; 1.084598354; 1.902787321; 42.000000000; 42.200000763; 0.600000024; 17; 2; 112321.000000000; 0; -1.151295304
60.000000000; 13.670340000; 56.124492701; 8.888490816; 1.681524519; 1.730299740; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112322.000000000; 0; -1.149124980
70.000000000; 14.074180000; 56.124529744; 8.888342853; 0.877151778; 0.877002062; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112322.000000000; 0; -1.148562312
80.000000000; 14.477840000; 56.124566748; 8.888194770; 1.470306243; 1.358599162; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112323.000000000; 0; -1.148236990
90.000000000; 14.880940000; 56.124603787; 8.888046381; 1.642970534; 1.742334353; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112323.000000000; 0; -1.150696874
100.000000000; 15.279820000; 56.124640302; 8.887899352; 0.755349933; 1.082787333; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112323.000000000; 0; -1.153071284
110.000000000; 15.683080000; 56.124675987; 8.887750370; 1.353710075; 2.278937103; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112324.000000000; 0; -1.171049356
120.000000000; 16.086600000; 56.124710998; 8.887601095; 1.271204259; 2.088505056; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112324.000000000; 0; -1.174369574
130.000000000; 16.490490000; 56.124745804; 8.887451481; 0.766288900; 0.774010394; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112325.000000000; 0; -1.172821164
140.000000000; 16.894290000; 56.124780854; 8.887301426; 0.701384601; 0.858785131; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112325.000000000; 0; -1.174636841
150.000000000; 17.298160000; 56.124815797; 8.887151289; 0.396579163; 1.063665828; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112325.000000000; 0; -1.175839067
160.000000000; 17.702030000; 56.124850752; 8.887001178; 1.398256580; 1.140972273; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112326.000000000; 0; -1.174501896
170.000000000; 18.105780000; 56.124885760; 8.886851131; 0.804546175; 0.966143310; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112326.000000000; 0; -1.174484491
180.000000000; 18.509490000; 56.124920712; 8.886701065; 1.201138408; 0.933979837; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112327.000000000; 0; -1.175938249
190.000000000; 18.909050000; 56.124955227; 8.886552552; 0.984830377; 0.766171868; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112327.000000000; 0; -1.174858689
200.000000000; 19.312310000; 56.124990275; 8.886402678; 0.918170916; 1.334440392; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112327.000000000; 0; -1.172336221
210.000000000; 19.715790000; 56.125025801; 8.886252789; 0.925635950; 0.939249873; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112328.000000000; 0; -1.167064786
220.000000000; 20.119050000; 56.125061470; 8.886102918; 1.441021340; 1.450063474; 42.099998474; 42.200000763; 0.600000024; 16; 2; 112328.000000000; 0; -1.168027759
230.000000000; 20.522270000; 56.125097014; 8.885953180; 1.634640409; 2.014777855; 42.099998474; 42.200000763; 0.600000024; 17; 2; 112329.000000000; 0; -1.167118669
240.000000000; 20.925320000; 56.125132573; 8.885804068; 1.376156531; 2.134317353; 42.099998474; 42.200000763; 0.600000024; 17; 2; 112329.000000000; 0; -1.166000366
250.000000000; 21.328370000; 56.125168213; 8.885655018; 1.133790139; 1.419140287; 42.099998474; 42.200000763; 0.600000024; 17; 2; 112329.000000000; 0; -1.165153265
260.000000000; 21.730840000; 56.125203779; 8.885505492; 0.894089927; 0.915237072; 42.000000000; 42.200000763; 0.600000024; 17; 2; 112330.000000000; 0; -1.167365313
270.000000000; 22.133500000; 56.125239389; 8.885355920; 1.092168890; 0.983935812; 42.000000000; 42.200000763; 0.600000024; 17; 2; 112330.000000000; 0; -1.167353153
280.000000000; 22.536090000; 56.125274897; 8.885206529; 2.049960622; 2.093519108; 41.900001526; 42.200000763; 0.600000024; 17; 2; 112331.000000000; 0; -1.166714191
290.000000000; 22.934720000; 56.125310022; 8.885059190; 1.090788251; 1.747425664; 41.900001526; 42.200000763; 0.600000024; 17; 2; 112331.000000000; 0; -1.166194558
300.000000000; 23.336300000; 56.125345578; 8.884910421; 1.584031955; 1.519510261; 41.900001526; 42.200000763; 0.600000024; 17; 2; 112331.000000000; 0; -1.164912224
310.000000000; 23.738710000; 56.125381003; 8.884761332; 1.420839996; 1.075616278; 41.799999237; 42.200000763; 0.600000024; 17; 2; 112332.000000000; 0; -1.167270780
320.000000000; 24.141610000; 56.125416604; 8.884612354; 1.118075146; 1.256715271; 41.799999237; 42.200000763; 0.600000024; 17; 2; 112332.000000000; 0; -1.164352179
330.000000000; 24.544360000; 56.125452438; 8.884463737; 0.799758003; 0.868891089; 41.700000763; 42.200000763; 0.600000024; 17; 2; 112333.000000000; 0; -1.159636259
340.000000000; 24.947580000; 56.125488604; 8.884315775; 0.800099592; 0.878921031; 41.700000763; 42.200000763; 0.600000024; 17; 2; 112333.000000000; 0; -1.155414224
350.000000000; 25.351050000; 56.125525101; 8.884168075; 0.923403478; 0.845292468; 41.700000763; 42.200000763; 0.600000024; 17; 2; 112333.000000000; 0; -1.151684523
360.000000000; 25.754530000; 56.125561807; 8.884020522; 0.731838029; 0.947445289; 41.700000763; 42.200000763; 0.600000024; 17; 2; 112334.000000000; 0; -1.148751616
370.000000000; 26.158200000; 56.125598863; 8.883873272; 1.022515606; 0.797793938; 41.700000763; 42.200000763; 0.600000024; 17; 2; 112334.000000000; 0; -1.144949436
380.000000000; 26.557810000; 56.125636022; 8.883727956; 1.524869269; 0.691027622; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112335.000000000; 0; -1.134859920
390.000000000; 26.961380000; 56.125674189; 8.883581878; 0.813995529; 0.831511797; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112335.000000000; 0; -1.129703879
400.000000000; 27.364910000; 56.125712804; 8.883436179; 1.407527245; 1.575532366; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112335.000000000; 0; -1.124308109
410.000000000; 27.767860000; 56.125751517; 8.883290803; 1.574878957; 2.049229284; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112336.000000000; 0; -1.122972965
420.000000000; 28.171060000; 56.125790539; 8.883145746; 1.985915405; 1.612930520; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112336.000000000; 0; -1.119111776
430.000000000; 28.574270000; 56.125830088; 8.883000669; 0.657289172; 1.345456586; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112337.000000000; 0; -1.112067461
440.000000000; 28.977170000; 56.125870254; 8.882855532; 0.901845549; 1.268656740; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112337.000000000; 0; -1.107826114
450.000000000; 29.379950000; 56.125910790; 8.882710724; 0.880876989; 0.714850618; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112337.000000000; 0; -1.102916956
460.000000000; 29.782540000; 56.125950880; 8.882566251; 0.866782644; 0.922178679; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112338.000000000; 0; -1.107356429
470.000000000; 30.181070000; 56.125990800; 8.882423503; 0.621312694; 0.630996078; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112338.000000000; 0; -1.104290009
